,TMAX,TMAX,TMAX,TMAX,TMAX,TMAX,TMAX,TMAX,PRCP,PRCP,PRCP,PRCP,PRCP,PRCP,PRCP,PRCP,SNOW,SNOW,SNOW,SNOW,SNOW,SNOW,SNOW,SNOW,1. open,1. open,1. open,1. open,1. open,1. open,1. open,1. open,4. close,4. close,4. close,4. close,4. close,4. close,4. close,4. close,5. volume,5. volume,5. volume,5. volume,5. volume,5. volume,5. volume,5. volume
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-31,19.0,3.9000000000000004,4.640282558446438,-5.0,0.8500000000000001,3.9,6.15,13.9,19.0,1.8631578947368421,7.273483845548982,0.0,0.0,0.0,0.0,31.8,19.0,2.526315789473684,8.140218540969084,0.0,0.0,0.0,0.0,33.0,19.0,10.089978947368422,0.3591347744215678,9.39,9.955,10.05,10.32,10.73,19.0,10.074105263157895,0.3955842226289899,9.31,9.879999999999999,10.09,10.335,10.83,19.0,34922020.84210526,10780498.549050014,20087084.0,27248300.5,33375118.0,41183702.5,57940801.0
2010-02-28,19.0,3.1105263157894742,1.9516075245357507,0.6,1.7,2.8,4.15,7.2,19.0,8.921052631578945,15.384211926783482,0.0,0.0,0.0,10.8,50.8,19.0,49.31578947368421,99.23208073981525,0.0,0.0,0.0,12.5,292.0,19.0,9.481594736842105,0.4976621884970257,8.73,8.96,9.68,9.825,10.15,19.0,9.411052631578947,0.48878414614272014,8.53,8.94,9.62,9.815000000000001,10.0,19.0,25315696.684210528,6754471.144172478,13983289.0,21646287.5,25279105.0,27496585.0,40661589.0
2010-03-31,23.0,12.830434782608695,4.605178387879206,5.0,9.15,11.7,16.1,22.2,23.0,6.904347826086957,16.038745084124187,0.0,0.0,0.0,3.2,62.2,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.762173913043478,0.5619928543846857,6.9,7.324999999999999,7.82,8.18,8.66,23.0,7.739999999999999,0.5433063759811937,6.91,7.335,7.77,8.225,8.65,23.0,24740640.260869566,9824126.482922615,11349239.0,19349707.5,22375238.0,27881435.0,51972305.0
2010-04-30,21.0,20.290476190476195,5.241937119224606,11.7,17.2,20.6,22.8,33.3,21.0,1.6714285714285713,4.3016442039228275,0.0,0.0,0.0,0.0,17.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.255714285714287,0.2256451069394465,6.83,7.07,7.25,7.46,7.59,21.0,7.260952380952382,0.24062220932209802,6.86,7.08,7.18,7.47,7.66,21.0,31871594.61904762,13620281.685700845,16259061.0,23184953.0,28611452.0,36922905.0,80613870.0
2010-05-31,20.0,23.000000000000004,6.05779185060556,8.9,19.0,24.450000000000003,26.825,33.3,20.0,3.7749999999999995,9.407324973545599,0.0,0.0,0.0,0.8500000000000001,32.8,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7.235750000000001,0.2497118075744622,6.9,7.01,7.2125,7.422499999999999,7.75,20.0,7.219665000000002,0.23474961414687184,6.812,7.024825,7.215,7.433,7.63,20.0,27185173.1,8557980.9052545,14946532.0,22167254.0,23847189.5,33322251.25,45144685.0
2010-06-30,22.0,27.936363636363637,4.111950696219317,20.0,23.9,29.7,30.6,33.9,22.0,2.1772727272727272,5.45622683320729,0.0,0.0,0.0,0.22499999999999998,22.6,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,8.157727272727273,0.3862263315994641,7.32,8.022499999999999,8.155000000000001,8.375,8.72,22.0,8.182272727272725,0.3205491095007622,7.55,7.994999999999999,8.16,8.377500000000001,8.83,22.0,28597777.681818184,13276267.767605167,13775910.0,19249116.75,26989874.0,32433767.0,68759164.0
2010-07-31,21.0,31.67142857142857,3.388678629959302,25.0,30.6,31.7,33.3,39.4,21.0,2.7190476190476187,6.185516877967358,0.0,0.0,0.0,0.5,21.3,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.75452380952381,0.2878537161559008,7.28,7.57,7.72,8.065,8.22,21.0,7.707619047619046,0.2462499697848663,7.28,7.58,7.74,7.87,8.26,21.0,18496047.476190478,7520153.418777695,10018862.0,12725260.0,15325694.0,22172191.0,37462907.0
2010-08-31,22.0,29.84545454545454,4.622793143784009,20.6,27.8,31.1,33.175,35.6,22.0,2.645454545454545,7.614880624567068,0.0,0.0,0.0,0.375,26.7,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,7.0879545454545445,0.5356452697246143,6.26,6.695,7.1,7.32,8.03,22.0,7.04077272727273,0.5060007464532591,6.24,6.6225,7.125,7.2875000000000005,7.95,22.0,18949670.181818184,9527145.49523052,8944366.0,11677504.25,15525434.5,23899904.5,46705592.0
