"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-01","1.5"," 2355"," 2359","0.8","0.0","0.0",,"4.4","0.6",,"  290","  260",,"7.2","9.8","    1",,,,,,,,,,"    1",,"    1",,"    1","    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-02","5.6"," 2349"," 2349","0.5","5.0","0.0",,"1.1","-8.3",,"  270","  280",,"9.8","15.6","    1",,,,,,,"    1",,,"    1",,"    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-03","6.4"," 1254"," 1055","0.0","0.0","0.0",,"-5.6","-8.3",,"  290","  310",,"11.6","17.4",,,,,,,,"    1",,,,,,,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-04","4.8"," 0249"," 1722","0.0","0.0","0.0",,"-1.1","-7.2",,"  290","  280",,"7.6","10.7",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-05","4.4"," 2206"," 1047","0.0","0.0","0.0",,"-1.1","-6.7",,"  290","  270",,"7.6","10.7",,,,,,,,,,,,,,,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-06","4.3"," 2141"," 2021","0.0","0.0","0.0",,"1.1","-3.3",,"  290","  310",,"8.9","13.4",,,,,,,,,,,,,"    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-07","3.9"," 1150"," 1009","0.0","0.0","0.0",,"2.8","-1.1",,"  290","  310",,"7.2","9.8",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-08","3.4"," 1805"," 1844","1.3","15.0","0.0",,"0.6","-5.0",,"  290","  290",,"9.8","13.4","    1",,,,,,"    1","    1",,,"    1",,"    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-09","3.9"," 0825"," 0824","0.0","0.0","0.0",,"-1.1","-7.8",,"  300","  300",,"7.6","10.7",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-10","3.1"," 1750"," 1805","0.0","0.0","0.0",,"-2.2","-10.0",,"  290","  300",,"5.8","7.6",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-11","3.2"," 0511"," 1922","0.0","0.0","0.0",,"-0.6","-6.1",,"  270","  250",,"6.3","7.6",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-12","4.2"," 2125"," 2323","0.0","0.0","0.0",,"1.7","-4.4",,"  290","  310",,"8.0","12.5",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-13","3.6"," 0441"," 0057","0.0","0.0","0.0",,"1.7","-4.4",,"  290","  300",,"7.6","11.2",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-14","1.5"," 2237"," 2236","0.0","0.0","0.0",,"5.6","-1.1",,"  240","  230",,"5.4","7.6",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-15","3.5"," 1553"," 1757","0.0","0.0","0.0",,"10.0","1.7",,"  290","  300",,"7.2","9.8",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-16","2.9"," 1106"," 1155","0.0","0.0","0.0",,"9.4","3.3",,"  270","  250",,"6.3","8.9",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-17","1.7"," 1121"," 1035","14.5","0.0","0.0",,"7.8","1.7",,"   70","   50",,"6.7","8.9","    1",,,,"    1",,,,,,"    1",,"    1",,,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-18",," 9999",,"1.3","0.0","0.0",,"10.0","2.8",,"  340",,,"5.8",,"    1",,,,,,,,,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-19",," 2002"," 1754","0.0","0.0","0.0",,"8.9","4.4",,"  270","  270",,"5.8","7.2",,,,,,,,"    1",,,,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-20","2.8"," 1623"," 1558","0.0","0.0","0.0",,"5.0","1.1",,"  290","  300",,"6.3","10.3",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-21","1.4"," 0935"," 0943","0.0","0.0","0.0",,"5.0","-0.6",,"   40","   60",,"5.4","6.3",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-22","2.9"," 1356"," 1355","0.0","0.0","0.0",,"6.7","0.0",,"   40","   30",,"6.3","8.9",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-23","1.4"," 0310"," 0757","0.0","0.0","0.0",,"4.4","-2.2",,"   40","   40",,"5.4","6.7",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-24","1.1"," 1141"," 1134","0.5","0.0","0.0",,"10.0","0.0",,"   80","   70",,"4.5","6.3","    1",,,,,,,"    1",,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-25",," 1438"," 1432","31.8","0.0","0.0",,"13.9","9.4",,"  150","  180",,"7.2","11.6","    1","    1",,,"    1",,,,,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-26","3.9"," 1419"," 1434","0.0","0.0","0.0",,"9.4","1.7",,"  270","  280",,"8.9","11.6",,,,,"    1",,,,,,,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-27","3.1"," 1535"," 1712","0.0","0.0","0.0",,"3.9","-0.6",,"  270","  270",,"7.2","8.9",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-28","3.8"," 2050"," 2051","2.3","33.0","0.0",,"5.6","-6.7",,"  290","  290",,"11.2","17.4","    1","    1",,,,,,,"    1",,,,"    1",,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-29","5.2"," 1645"," 1645","0.0","0.0","0.0",,"-5.0","-8.9",,"  300","  300",,"10.3","14.3",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-30","4.0"," 0402"," 0401","0.0","0.0","0.0",,"-6.7","-10.6",,"  280","  290",,"7.6","11.6",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01-31","2.8"," 2339"," 2003","0.0","0.0","0.0",,"-1.1","-10.0",,"  230","  270",,"5.4","8.0",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-01","3.6"," 0455"," 1014","0.0","0.0","0.0",,"1.7","-3.9",,"  270","  290",,"7.2","10.3",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-02","1.9"," 0542"," 0021","0.8","20.0","0.0",,"0.6","-2.8",,"  330","  230",,"4.5","6.7","    1",,,,,,,"    1",,,"    1",,"    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-03","2.3"," 2250"," 2249","1.5","5.0","25.0",,"3.9","-1.7",,"  290","  290",,"7.2","10.7","    1",,,,,,,"    1",,,"    1",,"    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-04","4.0"," 0435"," 0407","0.0","0.0","0.0",,"2.8","-2.2",,"  300","  300",,"7.6","11.6",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-05","2.1"," 2359"," 2358","0.0","0.0","0.0",,"2.2","-1.7",,"   60","   50",,"7.6","10.3",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-06","6.1"," 0518"," 0519","0.0","0.0","0.0",,"0.6","-6.7",,"   60","   50",,"13.0","16.5",,,,,,,,"    1",,,,,"    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-07","4.5"," 2100"," 1532","0.0","0.0","0.0",,"1.1","-8.3",,"  290","  280",,"7.6","11.2",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-08","4.4"," 1358"," 1558","0.0","0.0","0.0",,"2.8","-5.0",,"  300","  310",,"8.0","11.2",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-09","2.3"," 2130"," 0435","0.0","0.0","0.0",,"5.6","-2.2",,"  250","  260",,"5.8","7.6",,,,,,,,"    1",,,,,"    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-10","5.5"," 1324"," 2337","33.8","254.0","51.0",,"1.1","-1.1",,"   40","  310",,"10.7","14.8","    1","    1",,,,,,,"    1",,,,"    1",,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-11","5.3"," 1236"," 0637","0.0","0.0","254.0",,"2.8","-2.2",,"  290","  290",,"9.4","14.3",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-12","3.7"," 1050"," 0047","0.0","0.0","203.0",,"2.8","-3.3",,"  290","  310",,"6.7","9.8",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-13","3.9"," 2045"," 2204","0.0","0.0","203.0",,"0.0","-4.4",,"  280","  260",,"8.0","13.0",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-14","4.1"," 1218"," 1151","0.0","0.0","203.0",,"3.9","-2.2",,"  270","  280",,"8.0","11.6",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-15","3.1"," 0402"," 0421","0.3","0.0","178.0",,"4.4","-2.8",,"  250","  230",,"6.7","9.8","    1",,,,,,,"    1",,,"    1",,"    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-16","2.5"," 2217"," 2130","10.9","127.0","152.0",,"0.6","-1.7",,"  270","  270",,"5.8","8.9","    1","    1",,,,,,"    1",,,"    1",,"    1",,"    1","    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-17","3.6"," 1731"," 2256","0.0","0.0","254.0",,"1.7","-3.3",,"  270","  270",,"6.7","9.4",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-18","4.5"," 1004"," 1316","0.0","0.0","203.0",,"4.4","0.0",,"  300","  270",,"8.0","11.6",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-19","5.1"," 0257"," 0257","0.0","0.0","152.0",,"6.1","1.7",,"  270","  270",,"10.3","15.6",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-20","3.6"," 1212"," 1247","0.0","0.0","102.0",,"6.7","1.7",,"  300","  280",,"7.6","11.6",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-21","4.3"," 1527"," 1749","0.0","0.0","76.0",,"7.8","0.6",,"  290","  300",,"7.6","13.4",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-22","2.7"," 2314"," 2314","0.8","0.0","0.0",,"7.2","-1.7",,"  100","   50",,"6.3","9.4",,,,,,,,,,,,,"    1",,,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-23","6.3"," 1214"," 1658","30.5","0.0","0.0",,"3.3","1.7",,"   60","   60",,"11.6","17.9","    1",,,,"    1",,,,,,"    1",,"    1",,,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-24","3.5"," 0206"," 0133","10.7","0.0","0.0",,"5.6","2.2",,"   50","   30",,"10.7","14.3","    1",,,,"    1",,,,,,"    1",,"    1",,,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02-25","1.5"," 2032"," 2038","50.8","239.0","0.0",,"3.3","-2.8",,"  270","  280",,"6.7","8.9","    1","    1",,,"    1",,,,"    1",,,,"    1",,"    1",,,
